exe,bench,asm size,guard map size
pypy-c,chaos,157.141601562,24.4013671875
pypy-c,crypto_pyaes,170.418945312,24.1279296875
pypy-c,django,233.50390625,51.03125
pypy-c,go,4871.02246094,888.092773438
pypy-c,pyflate-fast,729.340820312,150.737304688
pypy-c,raytrace-simple,491.594726562,74.0048828125
pypy-c,richards,157.1171875,17.638671875
pypy-c,spambayes,2499.93554688,331.73828125
pypy-c,sympy_expand,929.21484375,214.017578125
pypy-c,telco,516.486328125,77.59765625
pypy-c,twisted_names,1694.91308594,228.374023438
