exe,bench,number of guards,total resume data size,naive resume data size,compressed resume data size
pypy-c,chaos,888,390.48046875,1312.44140625,82.2734375
pypy-c,crypto_pyaes,956,493.171875,1685.69921875,90.00390625
pypy-c,django,1084,577.232421875,2383.1484375,109.6953125
pypy-c,go,29989,22877.5976562,91200.3007812,3753.15625
pypy-c,pyflate-fast,4019,2036.74414062,7422.01367188,380.3828125
pypy-c,raytrace-simple,2661,1427.6953125,4591.57617188,270.48046875
pypy-c,richards,1044,685.1015625,2579.734375,116.98046875
pypy-c,spambayes,12914,6601.51367188,36708.2675781,1248.1640625
pypy-c,sympy_expand,4532,2231.06835938,10048.6972656,442.48046875
pypy-c,telco,2804,1514.109375,6352.2734375,285.3515625
pypy-c,twisted_names,9570,5485.9765625,30032.9023438,1034.8203125
